name,born_date,born_location
Albert Einstein,"March 14, 1879","in Ulm, Germany"
André Gide,"November 22, 1869","in Paris, France"
Eleanor Roosevelt,"October 11, 1884",in The United States
Jane Austen,"December 16, 1775","in Steventon Rectory, Hampshire, The United Kingdom"
J.K. Rowling,"July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
Thomas A. Edison,"February 11, 1847","in Milan, Ohio, The United States"
Marilyn Monroe,"June 01, 1926",in The United States
Steve Martin,"August 14, 1945","in Waco, Texas, The United States"
Allen Saunders,"April 24, 1899",in The United States
Mark Twain,"November 30, 1835","in Florida, Missouri, The United States"
Elie Wiesel,"September 30, 1928","in Sighet, Romania"
Dr. Seuss,"March 02, 1904","in Springfield, MA, The United States"
Bob Marley,"February 06, 1945","in Nine Mile, Saint Ann, Jamaica"
Douglas Adams,"March 11, 1952","in Cambridge, England, The United Kingdom"
Friedrich Nietzsche,"October 15, 1844","in Röcken bei Lützen, Prussian Province of Saxony, Germany"
Jim Henson,"September 24, 1936","in Greenville, Mississippi, The United States"
Mother Teresa,"August 26, 1910","in Skopje, Macedonia, the Former Yugoslav Republic of"
Garrison Keillor,"August 07, 1942","in Anoka, Minnesota, The United States"
Pablo Neruda,"July 12, 1904","in Parral, Chile"
Ralph Waldo Emerson,"May 25, 1803","in Boston, Massachusetts, The United States"
George Eliot,"November 22, 1819","in South Farm, Arbury Hall, Nuneaton, Warwickshire, The United Kingdom"
William Nicholson,"January 12, 1948","in Lewes, Sussex, The United Kingdom"
Jorge Luis Borges,"August 24, 1899","in Buenos Aires, Argentina"
Charles M. Schulz,"November 26, 1922","in Minneapolis, MN, The United States"
C.S. Lewis,"November 29, 1898","in Belfast, Ireland"
Martin Luther King Jr.,"January 15, 1929","in Atlanta, Georgia, The United States"
James Baldwin,"August 02, 1924","in Harlem, New York, The United States"
George R.R. Martin,"September 20, 1948","in Bayonne, New Jersey, The United States"
Helen Keller,"June 27, 1880","in Tuscumbia, Alabama, The United States"
George Bernard Shaw,"July 26, 1856","in Dublin, Ireland"
Ernest Hemingway,"July 21, 1899","in Oak Park, Illinois, The United States"
Stephenie Meyer,"December 24, 1973","in Connecticut, The United States"
Haruki Murakami,"January 12, 1949","in Kyoto, Japan"
Alexandre Dumas-fils,"July 27, 1824","in Paris, France"
J.R.R. Tolkien,"January 03, 1892","in Bloemfontein, Mangaung, Free State, South Africa"
Charles Bukowski,"August 16, 1920","in Andernach, Germany"
Suzanne Collins,"August 11, 1962","in Hartford, Connecticut, The United States"
George Carlin,"May 12, 1937","in New York, New York, The United States"
Ayn Rand,"February 02, 1905","in St. Petersburg, Russian Federation"
John Lennon,"October 09, 1940","in Liverpool, England, The United Kingdom"
W.C. Fields,"January 29, 1880","in Darby, Pennsylvania, The United States"
J.D. Salinger,"January 01, 1919","in Manhattan, New York, The United States"
Alfred Tennyson,"August 06, 1809","in Somersby, Lincolnshire, The United Kingdom"
Terry Pratchett,"April 28, 1948","in Beaconsfield, Buckinghamshire, England, The United Kingdom"
Madeleine L'Engle,"November 29, 1918","in New York City, New York, The United States"
Jimi Hendrix,"November 27, 1942","in Seattle, Washington, The United States"
J.M. Barrie,"May 09, 1860","in Kirriemuir, Angus, Scotland, The United Kingdom"
Khaled Hosseini,"March 04, 1965","in Kabul, Afghanistan"
E.E. Cummings,"October 14, 1894","in Cambridge, Massachusetts, The United States"
Harper Lee,"April 28, 1926","in Monroeville, Alabama, The United States"
